Country,employment_rate_2020,oil_price_2020,Population_millions_2020
AUS,73,50,26
BEL,64,41,11.506938
CAN,70,46,38.037204
CZE,74,46,10.700155
DNK,74,42,5.825337
FIN,71,41,5.529545
FRA,66,44,67.540257
DEU,76,43,83.160874
GRC,54,40,10.698597
IRL,67,44,4.977443
ITA,57,43,59.438845
JPN,78,47,126.146099
KOR,66,45,51.836239
NLD,79,42,17.4415
NZL,77,51,5.0902
NOR,75,46,5.379472
POL,68,41,38.354173
PRT,69,48,10.2970805
SVK,69,42,5.458827
ESP,61,42,47.355685
SWE,75,43,10.353444
CHE,80,47,8.63817
TUR,48,43,83.384688
GBR,75,45,67.081234
USA,67,37,331.50108
